concept,indegree,CIS,log_norm_score,tier,target_words,nontext_element
Exponential Function,6,10,0.3729,B - standard,697,1 worked example
Exponential Growth,2,3,0.2156,B - standard,466,1 worked example
Exponential Decay,1,2,0.1709,C - brief,401,definition only
Growth Factor,0,1,0.1078,C - brief,308,definition only
Decay Factor,0,1,0.1078,C - brief,308,definition only
Initial Value,0,1,0.1078,C - brief,308,definition only
Exponential Models,0,1,0.1078,C - brief,308,definition only
Comparing Linear and Exponential,0,1,0.1078,C - brief,308,definition only
Graphing Exponentials,0,1,0.1078,C - brief,308,definition only
Applications of Systems,0,1,0.1078,C - brief,308,definition only
