ConceptID,ConceptName,Dependencies,TaxonomyID
1,Concept Graph,,1
2,Dependency Graph,1,1
3,Printed Textbooks,,2
4,Linear Learning,3,2
5,Non-linear Learning,4,2
6,Recommendation Engines,5,7
7,Learning Paths,4|5,2
8,Learning Management Systems,7,4
9,Content Graph,1,1
10,Adaptive Learning,5|8|9,5
11,MicroSim,10,4
12,Intelligent Agents,6|10,7
13,SKOS,,3
14,Knowledge Representation,13,3
15,Course Description,14,3
16,Learning Objectives,15|17,3
17,Bloom's Taxonomy,,3
18,Dublin Core,14,3
19,Foundational Concept,,2
20,Hyper-personalization,10|12|19,5
21,Journey Map,16|20,5
22,Accessibility,7|8,5
23,Learning Graph,2|9,1
24,Rhizombic Learning,5|23,2
25,Graph Visualization,23,6
26,Force Directed Graph,25,6
27,JavaScript,,6
28,P5.js,27,6
29,vis.js,27,6
30,Graph Validation,23,1
31,Orphaned Concepts,30,1
32,Graph Layout Algorithms,26|29,6
33,Goal Concepts,16|23,3
34,User Interface,9|25,6
35,Chatbot,12|34,7
36,RAG,6|33|34,7
37,Similarity,,9
38,Concept Similarity,37,9
39,Student Similarity,37,9
40,Feedback Log,,8
41,Feedback Analysis,40,8
42,GraphRAG,36|38|39,7
43,Learning Content Recommendation Engine,6|10|42,7
44,Learned Concept,19|23,10
45,Ready to Learn Concept,16|44,5
46,Assessment,45,10
47,Learning Touchpoint,45|46,5
48,Frequently Asked Question,47,8
49,Content Similarity,37|39,9
50,Course Evaluation,46|48,10
